date,reportlink,city,state,country,shape,duration,description,post_date,images
8/12/17 09:30,https://nuforc.org/webreports/reports/135/S135680.html,Tucson,AZ,USA,Unknown,3 minutes,Strange lights in a octagon formation.,8/17/17,
8/10/17 05:45,https://nuforc.org/webreports/reports/135/S135631.html,Martinsburg,WV,USA,Unknown,10 seconds,"I saw a white object, high in the sky, directly overhead, moving faster than a normal airplane, and it was traveling from SW to NE.",8/11/17,
8/3/17 21:30,https://nuforc.org/webreports/reports/135/S135596.html,West Warwick,RI,USA,Unknown,45 minutes,Jet-like roaring craft over Rhode Island...no true explanation from media.,8/11/17,
8/2/17 23:00,https://nuforc.org/webreports/reports/135/S135480.html,Panevezys (Lithuania),,Lithuania,Unknown,4 hours 20 minutes,100+ lightnings in the same spot without any sounds on a clear night sky.  ((anonymous report)),8/4/17,
8/1/17 21:25,https://nuforc.org/webreports/reports/135/S135522.html,Orland Hills,IL,USA,Unknown,2 seconds,Bright Green lit craft moving quickly appeared and dissapered into nothing,8/4/17,
7/31/17 00:00,https://nuforc.org/webreports/reports/135/S135448.html,East Stroudsburg,PA,USA,Unknown,10 minutes,"Thought it was full moon but bright orange light, couldn't distinguish size or shape shining in my window. About 10 minutes later, was",8/4/17,
7/29/17 21:55,https://nuforc.org/webreports/reports/135/S135453.html,Spokane,WA,USA,Unknown,<5 seconds,"Just before 10pm, it streaked slower than a meteor, arching from S to N faster than a jet, it left silver blue trail. ((anon. report))",8/4/17,
7/28/17 11:00,https://nuforc.org/webreports/reports/135/S135400.html,Norcross,GA,USA,Unknown,3 minutes,Loud strange noise in the sky over Peachtree Corners Georgia,8/4/17,
7/27/17 02:16,https://nuforc.org/webreports/reports/135/S135469.html,Orlando,FL,USA,Unknown,10-15 minutes,"Glowing lights behind cloud hovered, then moved in similar directions at a high rate.  Return to original position.",8/4/17,
7/26/17 12:05,https://nuforc.org/webreports/reports/135/S135359.html,Kokomo,IN,USA,Unknown,40-45 minutes,10 or more lights squirmishing.,7/27/17,
7/24/17 23:50,https://nuforc.org/webreports/reports/135/S135348.html,Grand Marais,MN,USA,Unknown,2 minutes,Went out of house saw red and white flashing lights in moonless clear night. Could not make out shape of object. ((anonymous report)),7/27/17,
7/24/17 01:35,https://nuforc.org/webreports/reports/135/S135332.html,Reno,NV,USA,Unknown,~40 minutes,"Large flashes of light, followed by distant explosion noise going on for almost an hour.",7/27/17,
7/23/17 02:00,https://nuforc.org/webreports/reports/135/S135544.html,Pleasant Grove,UT,USA,Unknown,2 minutes,Saw what looked to be several points of light moving at differing speeds in a circle formation. ((anonymous report)),8/11/17,
7/19/17 23:30,https://nuforc.org/webreports/reports/135/S135293.html,Roswell,NM,USA,Unknown,5 minutes,Weird lights in Roswell.,7/23/17,
7/18/17 02:20,https://nuforc.org/webreports/reports/135/S135230.html,Fredericton (Canada),NB,Canada,Unknown,1-3 minutes,Small car/shed sized object started green/blue color changed to greenish pink flying super low with weird movements then quickly left.t,7/23/17,
7/18/17 00:15,https://nuforc.org/webreports/reports/135/S135232.html,Strafford,NH,USA,Unknown,5 seconds,Blinking light shot straight through top of tree line then shot off extremely fast to the right slightly bouncing up and down like it w,7/23/17,
7/17/17 21:00,https://nuforc.org/webreports/reports/135/S135778.html,Milford,CT,USA,Unknown,10 minutes,Saw bright white flash so thought it was a star but then it flashed again and I could see it faintly so I got my phone and took a video,8/24/17,
