date,reportlink,city,state,country,shape,duration,description,post_date,images
4/28/16 23:30,https://nuforc.org/webreports/reports/176/S176901.html,Boomer,NC,USA,Flash,1-2 seconds,Voice to skull to turn and look up into the sky saw a satellite heard message and saw extremely bright flash of light,7/29/23,
4/25/16 00:15,https://nuforc.org/webreports/reports/127/S127328.html,Evansville,IN,USA,Flash,2 seconds,"Extremely high altitude bright, white light that was smaller in proportion than the stars that moved then flickered to a dimmer white a",5/20/16,
4/23/16 22:00,https://nuforc.org/webreports/reports/127/S127000.html,Ormond Beach,FL,USA,Flash,2 hours,"Flashing Multicolor Object - Distance Local  ((NUFORC Note:  ""Twinkling"" star, probably Sirius.  PD))",4/29/16,
4/14/16 18:15,https://nuforc.org/webreports/reports/126/S126848.html,Lexa,AR,USA,Flash,300 milliseconds,Intense white spherical flash above a full rainbow. UNREAL.,4/15/16,
4/9/16 23:00,https://nuforc.org/webreports/reports/126/S126793.html,Charleston,WV,USA,Flash,10 minutes,Pulsing random light in random positions beneath Jupiter.,4/15/16,
4/9/16 22:00,https://nuforc.org/webreports/reports/126/S126801.html,Duvall,WA,USA,Flash,15 minutes,Bursts of irregular flashing light moving across the outer curvature of the earth.,4/15/16,
4/9/16 21:20,https://nuforc.org/webreports/reports/126/S126794.html,Salem,OR,USA,Flash,6 minutes,"While observing the moon tonight at about 9:20 pm PST my daughter said, ""Look, I saw a flash in the sky over there three times.""",4/15/16,
4/8/16 04:30,https://nuforc.org/webreports/reports/127/S127118.html,Branson ((possibly; unsure)),MO,USA,Flash,2 minutes,"Early morning, trip to Eureka Springs Arkansas. County road no traffic. Flash of light followed by second flash shortly thereafter. Tho",5/6/16,
4/7/16 22:30,https://nuforc.org/webreports/reports/126/S126754.html,Brookings,OR,USA,Flash,10-12 minutes,Two flashing lights in the night sky moving very slowly.,4/15/16,
4/2/16 14:30,https://nuforc.org/webreports/reports/126/S126719.html,Navasota,TX,USA,Flash,10 minutes,Small flashes of white light in a clear blue sky,4/15/16,
3/29/16 06:45,https://nuforc.org/webreports/reports/126/S126597.html,Royal Palm Beach,FL,USA,Flash,1 minutes,Light orb shoots across the sky into a portal.,4/1/16,
3/28/16 23:45,https://nuforc.org/webreports/reports/126/S126601.html,Hamden,CT,USA,Flash,3-5 seconds,((HOAX??))  Blue-Green flash in the night sky.,4/1/16,
3/28/16 21:05,https://nuforc.org/webreports/reports/126/S126588.html,Mt. Juliet,TN,USA,Flash,3 minutes,((HOAX??))  Flashing lights travelling fast across the sky.,4/1/16,
3/28/16 00:15,https://nuforc.org/webreports/reports/126/S126577.html,Paradise,CA,USA,Flash,Continuing,"Looking towards north, I noticed a full sky flashing, which continued every few minutes without any sound??",4/1/16,
3/26/16 23:15,https://nuforc.org/webreports/reports/126/S126566.html,Cedaredge,CO,USA,Flash,5 minutes,MULTIPLE INTERMITENT FLASHES OF LIGHT,4/1/16,
3/24/16 21:10,https://nuforc.org/webreports/reports/126/S126528.html,Gainesville,FL,USA,Flash,<1 second,"I saw what appeared to be an exploding satellite @ ~9:10 PM March 24, 2016",4/1/16,
3/18/16 17:00,https://nuforc.org/webreports/reports/129/S129531.html,Indian Trail,NC,USA,Flash,Flash,I was sitting on my back porch talking on my cell phone looking up at the sky.  There was a large flash of light for a couple of second,8/29/16,
3/17/16 01:30,https://nuforc.org/webreports/reports/126/S126431.html,Franklin Furnace,OH,USA,Flash,10 minutes,Lights in the sky.,3/18/16,
3/16/16 20:30,https://nuforc.org/webreports/reports/126/S126409.html,Anniston,AL,USA,Flash,2 minutes,3 illuminating green streaks of light in same 3/4 mile.,3/18/16,
3/13/16 22:58,https://nuforc.org/webreports/reports/126/S126350.html,Huntington Beach,CA,USA,Flash,5,Green blue flashes in Huntington Beach.,3/18/16,
3/13/16 05:40,https://nuforc.org/webreports/reports/126/S126361.html,"Washington, D.C. (above I-295 bridge)",DC,USA,Flash,2 seconds,"I want to be clear on this event, I was on my way to N.H from Doswell Virginia, after staying the night in Kings dominion Best western.",3/18/16,
3/11/16 04:38,https://nuforc.org/webreports/reports/126/S126310.html,Stirling,NJ,USA,Flash,3 minutes,"The entire sky flashed the colors red, blue and green three times within three minutes.",3/11/16,
3/10/16 05:30,https://nuforc.org/webreports/reports/126/S126302.html,Ponce (Puerto Rico),,Puerto Rico,Flash,1 minute,"UTC 9:30 AC March 10, 2016 Flashing bright red light in the night sky moving across horizon in Zigzag patterns across the horizon. No s",3/11/16,
3/7/16 23:59,https://nuforc.org/webreports/reports/126/S126273.html,Wilmington,MA,USA,Flash,,((HOAX??))  2 BRIGHT LIGHTS REPELLED THEN ATTRACTED QUICKLY THEN ZIG ZAGGED AND TOOK OFF,3/11/16,
3/5/16 23:00,https://nuforc.org/webreports/reports/126/S126239.html,Cedar Rapids,IA,USA,Flash,5 minutes,5 bright flashes in different spots in clear night sky.,3/11/16,
3/4/16 09:00,https://nuforc.org/webreports/reports/126/S126226.html,Ocklawaha,FL,USA,Flash,nite,"White diamond shape,, seems to move different places, also white flashes changing directions.",3/11/16,
3/2/16 20:05,https://nuforc.org/webreports/reports/126/S126196.html,Hurricane,UT,USA,Flash,15 minutes,Bright erratically flashing white light in sky above mountains,3/11/16,
2/20/16 19:30,https://nuforc.org/webreports/reports/126/S126207.html,Gresham,OR,USA,Flash,2 seconds,Super bright flash of light a week after a wave of UFO sightings,3/11/16,
2/19/16 21:00,https://nuforc.org/webreports/reports/125/S125937.html,Columbus,OH,USA,Flash,2 hours,"Over the South side of Columbus, Ohio.",2/26/16,
2/17/16 02:00,https://nuforc.org/webreports/reports/125/S125918.html,New London,WI,USA,Flash,10-15 minutes,Random pulses of bright white light some brighter than others randomly appeared in the sky with no associated sound or heading .,2/19/16,
2/16/16 01:30,https://nuforc.org/webreports/reports/126/S126188.html,Pangburn,AR,USA,Flash,1 minute,"Blue flash, no streaks, no flashing lights, instant direction changes.",3/4/16,
2/16/16 01:22,https://nuforc.org/webreports/reports/125/S125893.html,Federal Way,WA,USA,Flash,Pacific Hwy,"((HOAX??))  As we were inside, the town goes completely black as we walk outside multiple green flashes were seen in the E sky.",2/19/16,
2/16/16 00:30,https://nuforc.org/webreports/reports/125/S125993.html,Federal Way,WA,USA,Flash,2 seconds,Bright flash with no sound lighted up backyard.,2/26/16,
2/16/16 00:30,https://nuforc.org/webreports/reports/125/S125994.html,Federal Way,WA,USA,Flash,3-5 seconds,Addendum to original report.,2/26/16,
2/15/16 00:20,https://nuforc.org/webreports/reports/125/S125864.html,Columbus,OH,USA,Flash,Brief,On 71 southbound near the Budweiser plant.  A green flash lit the entire sky behind the clouds sort of like heat lightning except it's,2/19/16,
2/14/16 04:40,https://nuforc.org/webreports/reports/125/S125845.html,Beacon Falls,CT,USA,Flash,4 seconds,"Was outside smoking and a bright blue light lit up the back of my house. Thought it was a car, but happened to look up and saw the brig",2/19/16,
2/14/16 04:35,https://nuforc.org/webreports/reports/125/S125844.html,Bridgewater,NJ,USA,Flash,3 seconds,My back yard light up like lightening.  3 bright flashes blue/white color.,2/19/16,
2/14/16 04:30,https://nuforc.org/webreports/reports/125/S125847.html,Starview,PA,USA,Flash,1 second,"Bright flash, followed by fireball.",2/19/16,
2/3/16 19:00,https://nuforc.org/webreports/reports/125/S125621.html,Fife,WA,USA,Flash,15 seconds,Green/Teal flashing lights seen from Interstate 5.,2/4/16,
1/30/16 18:17,https://nuforc.org/webreports/reports/125/S125540.html,Williamsburg,VA,USA,Flash,10 seconds,Object falling in the sky disintegrated in bright white and light green flames.,2/4/16,
1/28/16 00:30,https://nuforc.org/webreports/reports/125/S125483.html,Concord,OH,USA,Flash,30 minutes,"Distant stationary object in SE sky, with flashing red and green lights.  ((NUFORC Note:  Probably Sirius, we suspect.  PD))",1/29/16,
